African Country,Non-African Partner,Areas of Cooperation - Categories,Source,Economic and Investment connectivity between African country and non-African partner,Type of Project,Year,Volume (in USD) ,Type of Green Manufacturing Project,Year,Volume (in USD) ,Link to Agreement,Sources: ,Number of Flagship Green Projects,Economic and Investment Trend
Morocco,EU,Hydrogen,https://data.consilium.europa.eu/doc/document/ST-15281-2024-INIT/en/pdf,High,"Large-scale Global Green
Hydrogen project (Global Gateway 2024 Flagship Project) ",,,,,,,,5,Increase
Morocco,China,"Transport / Logistics, Energy Infrastructure",See Chinese Investment Database,High,,,,,,,,,3,Increase
Morocco,"GCC (SA, Oman, Qatar, UAE)",Agriculture,https://media.afreximbank.com/afrexim/Rising-Gulf-Investments-in-Africa-Unlocking-Opportunities-and-Navigating-Challenges.pdf,Medium,Infrastructure and Green Development,2024,Not specified,,,,,,1,Stable 
Zambia,EU,"Adaptation, Agriculture, Energy Infrastructure",https://international-partnerships.ec.europa.eu/document/download/bb7108b9-4a22-4ac7-ae16-95f815451bbb_en,Medium,Programme “Terre Verte”,2023,"€115 million, ",,,,,,3,Decrease
Zambia,China,"Transport / Logistics, Energy Infrastructure, Metals",See Chinese Investment Database,High,Agriculture Investment Initiative by Zanaco and Team Europe:,2021,€30 million,,,,,,6,Increase
Zambia,GCC,"Metals, Mining / Raw materials, Energy Infrastructure",https://media.afreximbank.com/afrexim/Rising-Gulf-Investments-in-Africa-Unlocking-Opportunities-and-Navigating-Challenges.pdf,Medium,Sambangalou Hydroelectric Power Station,2021,€388 million,,,,,,4,Increase
Senegal,EU,Hydro Power,https://data.consilium.europa.eu/doc/document/ST-15281-2024-INIT/en/pdf,High*,"Senegal River Valley Development
and Resilient Project (Global Gateway 2024 Flagship Project) ",2023,$1.1 billion,,,,,,,Increase
Senegal,China,Transport / Logistics,See Chinese Investment Database,Medium,,,,,,,,,,Stable 
Senegal,GCC,Energy Infrastructure,https://media.afreximbank.com/afrexim/Rising-Gulf-Investments-in-Africa-Unlocking-Opportunities-and-Navigating-Challenges.pdf,Medium,Copper Mines deal,,,,,,,,,Stable 
Nigeria,EU,"Agriculture, Energy Infrastructure",https://international-partnerships.ec.europa.eu/document/download/e88b466f-6244-41b2-9622-3fca80667a17_en?filename=mip-2021-c2021-9273-nigeria-annex_en.pdf,Low,,,,,,,,,,Increase
Nigeria,China,"Transport / Logistics, Energy Infrastructure",See Chinese Investment Database,Medium,,,,,,,,,,Decrease
Nigeria,"GCC (SA, Oman, Qatar, UAE)","Metals, Mining / Raw materials",https://media.afreximbank.com/afrexim/Rising-Gulf-Investments-in-Africa-Unlocking-Opportunities-and-Navigating-Challenges.pdf,Low,,,,,,,,,,Increase
South Africa,EU,Adaptation,https://international-partnerships.ec.europa.eu/document/download/c6acce06-7e7e-4567-b15b-f4c8e759f5e8_en?filename=mip-2021-c2021-9112-south-africa-annex_en.pdf,High,,,,,,,,,,Stable 
South Africa,China,"Metals, Mining / Raw materials, Energy Infrastructure",See Chinese Investment Database,Medium,,,,,,,,,,Decrease
South Africa,GCC,"Transport / Logistics, Solar, Windfarms",https://media.afreximbank.com/afrexim/Rising-Gulf-Investments-in-Africa-Unlocking-Opportunities-and-Navigating-Challenges.pdf,Low,,,,,,,,,,Decrease
Kenya,EU,"Agriculture, Adaptation, Water",https://data.consilium.europa.eu/doc/document/ST-15281-2024-INIT/en/pdf,Low,"Sustainable Coffee: Strengthening
Value Chain and Climate Resilience
in Africa and Mwache Water Project (Global Gateway 2024 Flagship Project) ",,,,,,,,,Decrease
Kenya,China,"Energy Infrastructure, Transport / Logistics",See Chinese Investment Database,Medium,,,,,,,,,,Increase
Kenya,GCC,"Agriculture, Energy Infrastructure",https://media.afreximbank.com/afrexim/Rising-Gulf-Investments-in-Africa-Unlocking-Opportunities-and-Navigating-Challenges.pdf,Medium,,,,,,,,,,Decrease
